,author,title,comment,curriculum,id,year,grade,priority
304,Тютчев Ф.И.,Весенняя гроза,,22 РЛ 2 ст,2,1922,7,*
305,Тютчев Ф.И.,Есть в осени первоначальной,,22 РЛ 2 ст,2,1922,7,*
306,Тютчев Ф.И.,Кончен пир,,22 РЛ 2 ст,2,1922,7,*
307,Тютчев Ф.И.,Последняя любовь,,22 РЛ 2 ст,2,1922,7,*
308,Тютчев Ф.И.,Святая ночь,,22 РЛ 2 ст,2,1922,7,*
309,Тютчев Ф.И.,Фонтан,,22 РЛ 2 ст,2,1922,7,*
310,Успенский Г.И.,Власть земли,,22 РЛ 2 ст,2,1922,8,*
311,Успенский Г.И.,Нравы Растеряевой улицы,,22 РЛ 2 ст,2,1922,8,*
312,Успенский Г.И.,Разоренье,,22 РЛ 2 ст,2,1922,8,*
313,Фет А.А.,"Еще люблю, еще томлюсь",,22 РЛ 2 ст,2,1922,7,*
314,Фет А.А.,Как беден наш язык,,22 РЛ 2 ст,2,1922,7,*
315,Фет А.А.,Ласточки,,22 РЛ 2 ст,2,1922,7,*
316,Фет А.А.,Осень,,22 РЛ 2 ст,2,1922,7,*
317,Фет А.А.,Среди звезд,,22 РЛ 2 ст,2,1922,7,*
318,Фет А.А.,Степь вечером,,22 РЛ 2 ст,2,1922,7,*
319,Фет А.А.,Я пришел к тебе с приветом,,22 РЛ 2 ст,2,1922,7,*
320,Фонвизин Д.И.,Недоросль,,22 РЛ 2 ст,2,1922,6,
321,Хомяков А.С.,что-то,,22 РЛ 2 ст,2,1922,7,
322,Чаадаев П.Я.,что-то,,22 РЛ 2 ст,2,1922,7,
323,Чернышевский Н.Г.,что-то,,22 РЛ 2 ст,2,1922,7,
324,Чехов А.П.,В сумерках,,22 РЛ 2 ст,2,1922,8,
325,Чехов А.П.,Дядя Ваня,,22 РЛ 2 ст,2,1922,8,
326,Чехов А.П.,Мужики,,22 РЛ 2 ст,2,1922,8,
327,Чехов А.П.,Палата №6,,22 РЛ 2 ст,2,1922,8,
328,Чехов А.П.,Пестрые рассказы,,22 РЛ 2 ст,2,1922,8,
