,Unnamed: 0,author,title,comment,curriculum,id,year,grade,priority,1947,1948,au_48,au_47
193,248,Островский А.Н.,Гроза,,22 РЛ 2 ст,2,1922,7,,1,1,1,1
194,249,Островский А.Н.,Доходное место,,22 РЛ 2 ст,2,1922,7,,0,0,1,1
195,250,Островский А.Н.,Свои люди - сочтемся,,22 РЛ 2 ст,2,1922,7,,0,0,1,1
196,252,Полонский Я.П.,Двойник,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
197,253,Полонский Я.П.,Каземир Великий,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
198,254,Полонский Я.П.,Мечтатель,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
199,255,Полонский Я.П.,Нищий,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
200,256,Полонский Я.П.,Они,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
201,257,Полонский Я.П.,Письма к музе,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
202,258,Полонский Я.П.,Подросла,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
203,259,Полонский Я.П.,Поэзия,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
204,260,Полонский Я.П.,Родник,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
205,261,Помяловский Н.Г.,Очерки бурсы,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
206,262,Помяловский Н.Г.,Мещанское счастье,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
207,263,Помяловский Н.Г.,Молотов,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
208,264,Пушкин А.С.,Борис Годунов,,22 РЛ 2 ст,2,1922,6,,0,1,1,1
209,265,Пушкин А.С.,Евгений Онегин,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
210,266,Пушкин А.С.,Кавказский пленник,,22 РЛ 2 ст,2,1922,6,,0,0,1,1
211,267,Пушкин А.С.,Капитанская дочка,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
212,268,Пушкин А.С.,Медный всадник,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
213,269,Пушкин А.С.,Скупой рыцарь,,22 РЛ 2 ст,2,1922,6,,0,0,1,1
214,270,Пушкин А.С.,Цыганы,,22 РЛ 2 ст,2,1922,6,,1,1,1,1
215,271,Пушкин А.С.,Лирика,,22 РЛ 2 ст,2,1922,6,,1,0,1,1
216,272,Решетников Ф.М.,Подлиповцы,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
217,273,Салтыков-Щедрин М.Е.,Господа Головлевы,,22 РЛ 2 ст,2,1922,8,*,1,1,1,1
218,274,Салтыков-Щедрин М.Е.,Губернские очерки,,22 РЛ 2 ст,2,1922,8,*,0,0,1,1
219,275,Салтыков-Щедрин М.Е.,История города Глупова,,22 РЛ 2 ст,2,1922,8,*,0,0,1,1
220,276,Салтыков-Щедрин М.Е.,Сказки,,22 РЛ 2 ст,2,1922,8,,1,0,1,1
221,278,Степняк-Кравчинский С.М.,Андрей Кожухов,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
222,279,Степняк-Кравчинский С.М.,Подпольная Россия,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
223,280,Толстой А.К.,Алеша Попович,,22 РЛ 2 ст,2,1922,5,*,0,0,0,0
224,281,Толстой А.К.,Грешница,,22 РЛ 2 ст,2,1922,7,,0,0,0,0
225,282,Толстой А.К.,Илья Муромец,,22 РЛ 2 ст,2,1922,5,*,0,0,0,0
226,283,Толстой А.К.,Иоанн Дамаскин,,22 РЛ 2 ст,2,1922,7,,0,0,0,0
227,284,Толстой А.К.,Князь Серебряный,,22 РЛ 2 ст,2,1922,7,,0,0,0,0
228,285,Толстой А.К.,Колокольчики мои,,22 РЛ 2 ст,2,1922,7,,0,0,0,0
229,286,Толстой А.К.,Слеза дрожит,,22 РЛ 2 ст,2,1922,7,,0,0,0,0
230,287,Толстой А.К.,"Тщетно, художник, ты мнишь",,22 РЛ 2 ст,2,1922,7,,0,0,0,0
